url,name,price,rating,reviews,description,asin,manufacturer
/sspa/click?ie=UTF8&spc=MTo4NDY5MDM1MDc1MzY3MjQzOjE2NzUyNzI2Mjk6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjQyOTg6OjA6Og&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_258_sspa%3Fkeywords%3Dbags%26qid%3D1675272629%26sprefix%3Dba%252Caps%252C283%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,₹798,3.5 out of 5 stars,,,,
/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C/ref=sr_1_259?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-259,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,"₹1,149",4.4 out of 5 stars,,,,
/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q/ref=sr_1_260?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-260,"Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","₹1,859",,,,,
/Skybags-BPRDP10EBLU-RAGER-DAYPACK-BLUE/dp/B0B3XZFJV5/ref=sr_1_261?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-261,Skybags 35 Ltrs (41 Cms) Backpack(Bprdp10Eblu_Blue),₹589,4.0 out of 5 stars,,,,
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL/ref=sr_1_262?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-262,wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,₹474.05,4.0 out of 5 stars,,,,
/NYTRYD-Shoulder-Multifunctional-Backpack-Capacity/dp/B0BSQ9G21Z/ref=sr_1_263?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-263,NYTRYD Shoulder Bag Travel Laptop Bag Multifunctional Backpack Men's Super Large Capacity Travel Bag Student Vacation Bag Men's Bag Women's Bag (Grey),"₹1,299",,,,,
/Lenovo-Laptop-Everyday-Backpack-Black/dp/B07GM5NR14/ref=sr_1_264?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-264,Lenovo Everyday Laptop Backpack B515 15.6-inch Water Repellent Black,₹990,4.1 out of 5 stars,,,,
/Nelle-Harper-Womens-Shoulder-Dark/dp/B07RBR6NW2/ref=sr_1_265?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-265,Nelle Harper Women's Handbag,₹699,3.9 out of 5 stars,,,,
/Miramar-Multi-Purpose-Vegetable-Bags-Multi-color/dp/B09VX65KKP/ref=sr_1_266?keywords=bags&qid=1675272629&sprefix=ba%2Caps%2C283&sr=8-266,Miramar Fashion Multi-Purpose Washable Zip Vegetable Bags Vegetables Fruits Fridge Storage Reusable Bag for Fridge Fruit Storage Multi-color (Size = 8.5 X 13) (Pack Of 12),₹210,3.5 out of 5 stars,,,,
/sspa/click?ie=UTF8&spc=MTo4NDY5MDM1MDc1MzY3MjQzOjE2NzUyNzI2Mjk6c3BfbXRmOjIwMDk4NDY0Mjg5Nzk4OjowOjo&url=%2FRed-Lemon-Backpack-Multifunctional-Charcoal%2Fdp%2FB0BGSV19KZ%2Fref%3Dsr_1_267_sspa%3Fkeywords%3Dbags%26qid%3D1675272629%26sprefix%3Dba%252Caps%252C283%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,"₹1,899",4.4 out of 5 stars,,,,
